scenario,symbol,side,signalTime,entryTime,exitTime,entryPrice,exitPrice,entryFill,exitFill,shockReturn,shockZ,quoteVolumeMultiple,takerImbalance,directionalWick,grossPriceReturn,priceReturnAfterSlippage,fees,fundingReturn,netReturn
base,LTCUSDT,1,1724795399999,1724795400000,1724799000000,60.4,59.97,60.40604,59.964003,-0.034977131972150854,-12.327923721059356,17.724702856187225,-0.32191665775034195,0.33507853403141324,-0.0071192052980132425,-0.007317761601323247,0.001,0,-0.008317761601323248
base,SOLUSDT,1,1724795399999,1724795400000,1724799000000,148.146,146.83,148.16081459999998,146.81531700000002,-0.01964444966104235,-5.410809795992196,11.540914908955273,-0.3015274566762175,0.3882709807886789,-0.008883128805367457,-0.009081332359250904,0.001,0,-0.010081332359250905
base,SOLUSDT,1,1725231599999,1725231600000,1725235200000,129.014,128.411,129.0269014,128.3981589,-0.01872974210184329,-5.236610689424055,11.947286243293954,-0.3558303489799729,0.37141166025451283,-0.0046739113584572944,-0.004872956671654327,0.001,0,-0.005872956671654327
base,DOGEUSDT,-1,1726204199999,1726204200000,1726207800000,0.1035,0.10292,0.10348965,0.10293029199999999,0.014303333122048055,4.15864213955834,20.640376176955115,0.36038805724662293,0.3930348258706467,0.005603864734299524,0.005404965617334723,0.001,0,0.004404965617334723
base,XRPUSDT,-1,1727591399999,1727591400000,1727595000000,0.6242,0.6286,0.62413758,0.62866286,0.011113909999639442,4.382928912928601,4.60061743160001,0.28048602671136713,0.3437499999999989,-0.007049022749118894,-0.0072504526966634675,0.001,0,-0.008250452696663468
base,DOGEUSDT,1,1727734799999,1727734800000,1727738400000,0.1159,0.11545,0.11591159,0.115438455,-0.01702423595832994,-4.566418845245573,9.282544725198209,-0.3395768596301256,0.25287356321839566,-0.0038826574633304967,-0.004081861011483001,0.001,0,-0.005081861011483001
base,XRPUSDT,1,1727739299999,1727739300000,1727742900000,0.6123,0.6156,0.61236123,0.61553844,-0.011690342585288505,-4.143896905365927,3.1563087472180027,-0.3065612318794777,0.2999999999999852,0.005389514943655138,0.005188457146446224,0.001,-0.0001,0.004088457146446223
base,ETHUSDT,1,1727795099999,1727795100000,1727798700000,2507.42,2526.36,2507.6707420000002,2526.107364,-0.018789985540642144,-7.498685777199838,14.674495525703584,-0.3431055366128314,0.28620689655172105,0.007553580971676022,0.007352090404538325,0.001,-0.00008397,0.006268120404538325
base,BTCUSDT,1,1727813999999,1727814000000,1727817600000,60981.1,60811.2,60987.19811,60805.118879999995,-0.010102760558858411,-4.98541489115394,3.976667488883085,-0.3263076012819489,0.31402809086179895,-0.002786109138733117,-0.0029855319746218134,0.001,0,-0.003985531974621813
base,XRPUSDT,1,1727906399999,1727906400000,1727910000000,0.5409,0.5448,0.54095409,0.54474552,-0.01740767731625305,-4.982781897823048,8.32322066762401,-0.2843407767955196,0.3879310344827619,0.007210205213532772,0.007008783314680134,0.001,0,0.006008783314680134
base,BTCUSDT,-1,1728261899999,1728261900000,1728265500000,63284.9,63766.1,63278.57151,63772.47661,0.008709728382892402,4.313272020855808,14.098608597698119,0.3735329235508693,0.3122923588039708,-0.007603709573689832,-0.007805250469694158,0.001,0,-0.00880525046969416
